,movie,year,imdb,metascore,votes,descriptions,n_imdb
182,"Dude, Where's My Car?",2000,5.5,30,128058,"
    Two potheads wake up after a night of partying and cannot remember where they parked their car.",55.0
183,Hollow Man,2000,5.7,24,114113,"
    When the leader of a team of scientists volunteers to be the test subject for their experiment in human invisibility, he slowly unravels and turns against them, with horrific consequences.",57.0
184,Billy Elliot,2000,7.7,74,114027,"
    A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.",77.0
185,Scream 3,2000,5.6,56,113513,"
    While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.",56.0
186,Shanghai Noon,2000,6.6,77,111157,"
    A Chinese man travels to the Wild West to rescue a kidnapped Princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss.",66.0
187,The 6th Day,2000,5.9,49,110002,"
    Futuristic action about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.",59.0
188,What Lies Beneath,2000,6.6,51,109741,"
    The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.",66.0
189,Pay It Forward,2000,7.2,40,106752,"
    A young boy attempts to make the world a better place after his teacher gives him that chance.",72.0
190,In the Mood for Love,2000,8.1,85,104302,"
    Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",81.0
191,The Whole Nine Yards,2000,6.7,47,101947,"
    A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts.",67.0
192,Coyote Ugly,2000,5.7,27,100417,"
    Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.",57.0
193,Men of Honor,2000,7.2,56,100373,"
    The story of Carl Brashear, the first African-American U.S. Navy Diver, and the man who trained him.",72.0
194,The Family Man,2000,6.8,42,96654,"
    A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife.",68.0
195,Frequency,2000,7.4,67,94057,"
    An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.",74.0
196,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1491877,"
    A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",88.0
197,A Beautiful Mind,2001,8.2,72,763251,"
    After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",82.0
198,"Monsters, Inc.",2001,8.1,78,731105,"
    In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",81.0
199,Donnie Darko,2001,8.1,88,692698,"
    A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident.",81.0
200,Amélie,2001,8.3,69,645861,"
    Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",83.0
201,Harry Potter and the Sorcerer's Stone,2001,7.6,64,564585,"
    An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",76.0
202,Shrek,2001,7.9,84,556705,"
    A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",79.0
203,Spirited Away,2001,8.6,96,549257,"
    During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",86.0
204,Ocean's Eleven,2001,7.8,74,470620,"
    Danny Ocean and his eleven accomplices plan to rob three Las Vegas casinos simultaneously.",78.0
205,Training Day,2001,7.7,69,354195,"
    On his first day on the job as a Los Angeles narcotics officer, a rookie cop goes beyond a full work day in training within the narcotics division of the L.A.P.D. with a rogue detective who isn't what he appears to be.",77.0
206,Black Hawk Down,2001,7.7,74,337102,"
    160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.",77.0
207,The Fast and the Furious,2001,6.8,58,317996,"
    Los Angeles police officer Brian O'Connor must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.",68.0
208,The Others,2001,7.6,74,311533,"
    A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.",76.0
209,Pearl Harbor,2001,6.1,44,291405,"
    A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.",61.0
210,Mulholland Drive,2001,8.0,83,288541,"
    After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",80.0
211,The Mummy Returns,2001,6.4,48,282408,"
    The mummified body of Imhotep is shipped to a museum in London, where he once again wakes and begins his campaign of rage and terror.",64.0
212,A.I. Artificial Intelligence,2001,7.1,65,272720,"
    A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",71.0
213,Jurassic Park III,2001,5.9,42,270578,"
    A decidedly odd couple with alterior motives convince Dr. Grant to go to Isla Sorna, resulting in an unexpected landing, and startling new inhabitants on the island.",59.0
214,Moulin Rouge!,2001,7.6,66,250703,"
    A poet falls for a beautiful courtesan whom a jealous duke covets.",76.0
215,The Royal Tenenbaums,2001,7.6,76,244373,"
    The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.",76.0
216,Hannibal,2001,6.8,57,235545,"
    Living in exile, Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target for revenge from a powerful victim.",68.0
217,Vanilla Sky,2001,6.9,45,233110,"
    A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.",69.0
218,Zoolander,2001,6.6,61,229778,"
    At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.",66.0
219,American Pie 2,2001,6.4,43,224295,"
    Jim and his friends are now in college, and they decide to meet up at the beach house for some fun.",64.0
220,Enemy at the Gates,2001,7.6,53,223085,"
    A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.",76.0
221,Blow,2001,7.6,52,222743,"
    The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States.",76.0
222,Bridget Jones's Diary,2001,6.7,66,204830,"
    A British woman is determined to improve herself while she looks for love in a year in which she keeps a personal diary.",67.0
223,Planet of the Apes,2001,5.7,50,200653,"
    In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",57.0
224,Lara Croft: Tomb Raider,2001,5.8,33,184452,"
    Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.",58.0
225,Rush Hour 2,2001,6.6,48,184277,"
    Carter and Lee head to Hong Kong for a vacation, but become embroiled in a counterfeit money scam.",66.0
226,Swordfish,2001,6.5,32,168329,"
    A covert counter-terrorist unit called Black Cell led by Gabriel Shear wants the money to help finance their war against international terrorism, but it's all locked away. Gabriel brings in convicted hacker Stanley Jobson to help him.",65.0
227,K-PAX,2001,7.4,49,166465,"
    PROT is a patient at a mental hospital who claims to be from a far away planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.",74.0
228,Legally Blonde,2001,6.3,59,163166,"
    Elle Woods, a fashionable sorority queen is dumped by her boyfriend. She decides to follow him to law school, while she is there she figures out that there is more to her than just looks.",63.0
229,A Knight's Tale,2001,6.9,56,156408,"
    After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.",69.0
230,Jay and Silent Bob Strike Back,2001,6.9,51,140532,"
    The comic ""Bluntman and Chronic"" is based on real-life stoners Jay and Silent Bob, so when they get no profit from a big-screen adaptation, they set out to wreck the movie.",69.0
